Base Weather Station Churchtown	Temperature (*F)	Soil Moist-VWC (%VWC)	PAR Light (uM/m^2s)	Bar.Pressure (In-Hg)	RH (%)	Temperature (*F)	Rainfall (In)	Wind Dir (Deg)	Wind Gust (mph)	Wind Speed (mph)	Dew Point (*F)
	*F	%VWC	uM/m^2s	In-Hg	%	*F	In	Deg	mph	mph	*F
	TMPA	VWCB	PAR	BAR	HMD	TMP	RNF	WND	WNG	WNS	DEW
2022-05-14 17:40	67.5	10.0	309.0	29.86	65.4	77.5	0.00	216	11	7	65.0
2022-05-14 17:50	67.5	10.0	298.0	29.86	65.7	77.5	0.00	199	11	7	65.1
2022-05-14 18:00	67.5	9.9	275.0	29.86	65.8	76.8	0.00	186	12	7	64.5
2022-05-14 18:10	67.5	10.0	228.0	29.85	67.6	76.5	0.00	190	15	9	64.9
2022-05-14 18:20	67.3	9.9	179.0	29.85	68.5	75.9	0.00	190	12	9	64.8
2022-05-14 18:30	67.3	9.9	140.0	29.85	69.6	75.6	0.00	194	11	7	64.9
2022-05-14 18:40	67.3	9.9	110.0	29.85	69.7	75.4	0.00	201	12	7	64.8
2022-05-14 18:50	67.1	9.8	84.0	29.85	70.7	74.8	0.00	194	9	5	64.7
2022-05-14 19:00	66.9	9.8	66.0	29.85	70.6	74.5	0.00	189	14	7	64.3
2022-05-14 19:10	66.9	9.9	51.0	29.85	71.1	74.1	0.00	197	12	7	64.2
2022-05-14 19:20	66.9	9.9	38.0	29.84	72.2	73.8	0.00	192	7	5	64.2
2022-05-14 19:30	66.9	9.9	27.0	29.84	73.1	73.6	0.00	192	10	6	64.4
2022-05-14 19:40	66.7	9.9	16.0	29.84	74.1	73.0	0.00	197	10	6	64.3
2022-05-14 19:50	66.7	9.8	0.0	29.84	75.0	72.7	0.00	192	10	7	64.3
2022-05-14 20:00	66.7	9.8	0.0	29.83	75.8	72.3	0.00	201	10	6	64.3
2022-05-14 20:10	66.6	9.8	0.0	29.83	76.5	72.1	0.00	203	12	6	64.3
2022-05-14 20:20	66.6	9.9	0.0	29.83	77.7	71.6	0.00	207	6	4	64.3
2022-05-14 20:30	66.6	9.9	0.0	29.83	78.9	71.2	0.00	208	5	2	64.4
2022-05-14 20:40	66.4	10.0	0.0	29.83	80.3	70.5	0.00	221	2	1	64.2
2022-05-14 20:50	66.4	9.9	0.0	29.83	81.3	70.0	0.00	224	2	0	64.0
2022-05-14 21:00	66.4	9.9	0.0	29.83	81.8	70.0	0.00	211	4	1	64.2
2022-05-14 21:10	66.2	9.8	0.0	29.83	82.6	70.0	0.00	221	6	2	64.4
2022-05-14 21:20	66.2	9.8	0.0	29.83	83.4	69.8	0.00	213	6	2	64.5
2022-05-14 21:30	66.0	9.8	0.0	29.84	84.1	69.4	0.00	206	5	1	64.4
2022-05-14 21:40	66.0	9.8	0.0	29.84	84.6	69.3	0.00	187	4	2	64.4
2022-05-14 21:50	66.0	9.8	0.0	29.84	84.4	69.1	0.00	180	4	2	64.2
2022-05-14 22:00	65.8	9.8	0.0	29.84	85.0	68.7	0.00	176	4	2	64.0
2022-05-14 22:10	65.8	9.9	0.0	29.83	85.2	68.5	0.00	187	4	2	63.9
2022-05-14 22:20	65.8	9.9	0.0	29.83	85.6	68.4	0.00	182	4	2	63.9
2022-05-14 22:30	65.7	9.8	0.0	29.83	84.8	68.4	0.00	183	6	4	63.6
2022-05-14 22:40	65.7	9.8	0.0	29.83	85.1	68.0	0.00	176	7	2	63.4
2022-05-14 22:50	65.7	9.9	0.0	29.83	83.4	68.2	0.00	183	6	2	63.0
